day,hour,seat_loc,성별,나이,행동,복장,이어폰여부,내리는역,좌석위치,연령대,count
2017-08-02,07:12,1,여자,30,핸드폰보기,평상복,이어폰:O,강남역,좌측:사이드,중년,1
2017-08-02,07:12,2,남자,40,책읽기,평상복,이어폰:X,강남역,중앙,중년,1
2017-08-02,07:12,3,남자,40,핸드폰보기,평상복,이어폰:O,강남역,중앙,중년,1
2017-08-02,07:12,4,남자,60,생각중,세미정장,이어폰:O,강남역,중앙,장년,1
2017-08-02,07:12,5,남자,60,잠자는중,평상복,이어폰:O,강남역,우측:사이드,장년,1
2017-08-02,07:12,6,남자,20,핸드폰보기,평상복,이어폰:O,강남역,우측:사이드,청년,1
2017-08-17,08:52,0,여자,30,핸드폰보기,평상복,이어폰:X,강남역,좌측:사이드,중년,1
2017-08-17,08:52,1,남자,30,핸드폰보기,평상복,이어폰:O,강남역,좌측:사이드,중년,1
2017-08-17,08:52,2,남자,40,핸드폰보기,평상복,이어폰:O,강남역,중앙,중년,1
2017-08-17,08:52,3,여자,50,잠자는중,세미정장,이어폰:X,강남역,중앙,장년,1
2017-08-17,08:52,4,남자,20,핸드폰보기,평상복,이어폰:O,판교/정자역,중앙,청년,1
2017-08-17,08:52,5,여자,30,핸드폰보기,평상복,이어폰:X,강남역,우측:사이드,중년,1
2017-08-17,08:52,6,여자,30,핸드폰보기,세미정장,이어폰:X,강남역,우측:사이드,중년,1
2017-09-07,08:21,0,여자,40,잠자는중,세미정장,이어폰:X,판교/정자역,좌측:사이드,중년,1
2017-09-07,08:21,1,여자,40,핸드폰보기,평상복,이어폰:X,판교/정자역,좌측:사이드,중년,1
2017-09-07,08:21,2,여자,30,잠자는중,평상복,이어폰:O,강남역,중앙,중년,1
2017-09-07,08:21,3,여자,30,잠자는중,평상복,이어폰:O,강남역,중앙,중년,1
2017-09-07,08:21,4,여자,20,핸드폰보기,평상복,이어폰:O,강남역,중앙,청년,1
2017-09-07,08:21,5,여자,30,핸드폰보기,평상복,이어폰:X,강남역,우측:사이드,중년,1
2017-09-07,08:21,6,여자,40,잠자는중,평상복,이어폰:X,강남역,우측:사이드,중년,1
2017-08-23,07:48,0,남자,30,핸드폰보기,세미정장,이어폰:X,판교/정자역,좌측:사이드,중년,1
2017-08-23,07:48,1,여자,40,핸드폰보기,세미정장,이어폰:X,강남역,좌측:사이드,중년,1
2017-08-23,07:48,2,여자,30,핸드폰보기,세미정장,이어폰:X,강남역,중앙,중년,1
2017-08-23,07:48,3,여자,30,잠자는중,세미정장,이어폰:O,강남역,중앙,중년,1
2017-08-23,07:48,4,남자,40,핸드폰보기,평상복,이어폰:X,강남역,중앙,중년,1
2017-08-23,07:48,5,남자,30,핸드폰보기,평상복,이어폰:O,강남역,우측:사이드,중년,1
2017-08-23,07:48,6,남자,40,잠자는중,세미정장,이어폰:O,강남역,우측:사이드,중년,1
2017-07-20,08:06,0,남자,50,잠자는중,세미정장,이어폰:X,판교/정자역,좌측:사이드,장년,1
2017-07-20,08:06,1,여자,30,잠자는중,평상복,이어폰:X,강남역,좌측:사이드,중년,1
2017-07-20,08:06,2,남자,30,핸드폰보기,평상복,이어폰:O,판교/정자역,중앙,중년,1
2017-07-20,08:06,3,여자,40,생각중,세미정장,이어폰:X,판교/정자역,중앙,중년,1
2017-07-20,08:06,4,남자,30,핸드폰보기,세미정장,이어폰:X,강남역,중앙,중년,1
2017-07-20,08:06,5,여자,50,잠자는중,세미정장,이어폰:X,강남역,우측:사이드,장년,1
2017-07-20,08:06,6,남자,60,생각중,세미정장,이어폰:X,강남역,우측:사이드,장년,1
2017-08-03,08:20,0,남자,30,핸드폰보기,평상복,이어폰:O,판교/정자역,좌측:사이드,중년,1
2017-08-03,08:20,1,남자,30,핸드폰보기,평상복,이어폰:X,판교/정자역,좌측:사이드,중년,1
2017-08-03,08:20,2,남자,40,핸드폰보기,세미정장,이어폰:O,강남역,중앙,중년,1
2017-08-03,08:20,3,남자,50,잠자는중,세미정장,이어폰:X,강남역,중앙,장년,1
2017-08-03,08:20,4,여자,20,핸드폰보기,세미정장,이어폰:O,강남역,중앙,청년,1
2017-08-03,08:20,5,남자,30,핸드폰보기,평상복,이어폰:X,강남역,우측:사이드,중년,1
2017-08-03,08:20,6,여자,50,잠자는중,세미정장,이어폰:X,강남역,우측:사이드,장년,1
2017-08-22,08:20,0,남자,30,잠자는중,평상복,이어폰:X,판교/정자역,좌측:사이드,중년,1
